1210_031012_42146_c100926392550000001823199905121697_s1_p0/109387/41_1365_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/132679/1301_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/107160/41_1364_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/94344/1361_43_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/137394/40_1463_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/88463/1195_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/140283/1373_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/77969/1461_48_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/43082/41_1479_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/41790/41_1368_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/152854/41_1460_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/133326/1367_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/6801/41_1480_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/153347/1478_51_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/107114/1373_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/144000/1472_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/110331/1372_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/131957/41_1368_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/65402/1475_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/78970/41_1367_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/72935/1373_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/120721/1373_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/87044/1484_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/80061/40_1354_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/115556/41_1367_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/64980/1370_45_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/131092/1368_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/47484/41_1301_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/137081/1308_46_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/155722/1432_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/26543/1485_46_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/24697/41_1480_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/123848/41_1363_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/151308/37_1475_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/60497/1368_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/126484/41_1363_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/160601/42_1352_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/119783/40_1476_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/146260/41_1366_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/29883/41_1479_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/132917/41_1476_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/26533/1390_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/131628/1360_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/86535/1482_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/137760/1521_49_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/100912/40_1164_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/67489/1364_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/109436/1365_46_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/38826/1483_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/41757/1372_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/53934/41_1468_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/68795/75_2021_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/50668/1483_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/81917/41_1369_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/136297/41_1474_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/48295/41_1367_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/78367/41_1299_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/157098/1403_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/50841/1877_46_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/58887/1306_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/96669/1490_57_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/92157/1372_45_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/134318/1484_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/132679/1301_46_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/134318/1484_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/148127/41_1367_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/124970/1482_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/109572/1373_46_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/62962/40_1467_CCS
1210_031012_42146_c100926392550000001823199905121697_s1_p0/132952/41_1367_CCS,1210_031012_42146_c100926392550000001823199905121697_s1_p0/145663/40_1365_CCS
